,Order_ID,Order_Date,Region,City,Category,SubCategory,Sales,Quantity,Discount,Profit,Updated_Sales,Profit_Category,Net_Revenue,Discount_Level,Large_Order
0,ORD-10000,2022-07-14,South,HOUSTON,Office,Binders,574.32,7,0.0,100.02300000000001,603.0360000000001,Low Profit,574.32,Low Discount,Yes
1,ORD-10001,2022-06-07,South,HOUSTON,Technology,Accessories,1427.06,3,0.1,514.8660000000001,1498.413,High Profit,1426.96,Low Discount,No
2,ORD-10002,2022-05-21,West,HOUSTON,Furniture,Binders,1103.35,7,0.14996923076923077,64.06400000000001,1158.5175,Low Profit,1103.2000307692306,Low Discount,Yes
3,ORD-10003,2022-10-02,East,NEW YORK,Furniture,Binders,906.01,8,0.0,272.37100000000004,951.3105,High Profit,906.01,Low Discount,Yes
4,ORD-10004,2022-01-07,East,SAN ANTONIO,Office,Accessories,250.91,6,0.2,-10.351,263.45550000000003,Low Profit,250.71,Low Discount,Yes
5,ORD-10005,2022-02-23,East,SAN JOSE,Office,Storage,250.87,9,0.3,82.885,263.4135,Low Profit,250.57,High Discount,Yes
6,ORD-10006,2022-04-14,Central,HOUSTON,Technology,Tables,105.96,6,0.3,-0.9790000000000001,111.258,Low Profit,105.66,High Discount,Yes
7,ORD-10007,2022-12-08,East,SAN ANTONIO,Office,Phones,1301.94,9,0.2,-91.476,1367.037,Low Profit,1301.74,Low Discount,Yes
8,ORD-10008,2022-12-04,West,SAN JOSE,Furniture,Chairs,909.65,4,0.1,-38.775000000000006,955.1325,Low Profit,909.55,Low Discount,No
9,ORD-10009,2022-03-02,Central,DALLAS,Furniture,Tables,1067.95,8,0.14996923076923077,-47.883,1121.3475,Low Profit,1067.8000307692307,Low Discount,Yes
10,ORD-10010,2022-03-28,East,SAN JOSE,Office,Binders,50.47,4,0.3,8.756,52.993500000000004,Low Profit,50.17,High Discount,No
11,ORD-10011,2022-09-15,Central,DALLAS,Technology,Chairs,1455.47,2,0.2,571.373,1528.2435,High Profit,1455.27,Low Discount,No
